Name,Age,Pos,Ft,Inches,Exp,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,BPM,OBPM,DBPM,VORP
Megan Stevenson,21,SF,6,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,4,0,-67.12300172,-50.19780246,-16.92519926,-0.232637539
Shaylee Gonzales,21,PG,5,8,3,154,327,0.471,34,105,0.324,120,222,0.54,47,64,0.734,46,63,109,78,50,4,66,389,6.778116034,5.449490009,1.328626025,7.473628203
Kate Vorwaller,21,SG,6,0,4,2,3,0.667,1,1,1,1,2,0.5,0,2,0,0,0,0,0,1,0,1,5,7.323423498,0.307362641,7.016060857,0.066611742
Devry Millett,21,PG,5,8,1,1,6,0.167,0,2,0,1,4,0.25,0,0,,0,0,0,0,1,0,2,2,-17.47939648,-14.00706017,-3.472336306,-0.258051382
Maria Albiero,21,SF,6,1,1,41,117,0.35,16,61,0.262,25,56,0.446,23,27,0.852,5,58,63,69,14,1,42,121,-1.174358034,-1.422291825,0.247933791,0.621345228
Tegan Graham,21,PG,5,9,3,62,127,0.488,33,75,0.44,29,52,0.558,8,12,0.667,13,48,61,44,15,11,30,165,3.962418562,2.928651842,1.03376672,3.628001769
Kaylee Smiler,21,PF,6,5,2,22,57,0.386,17,43,0.395,5,14,0.357,2,2,1,2,20,22,24,12,7,15,63,1.883368511,0.174063966,1.709304546,1.54446902
Lauren Gustin,21,SG,5,10,1,98,203,0.483,0,3,0,98,200,0.49,40,60,0.667,73,185,258,39,20,6,43,236,2.66507734,2.6117543,0.05332304,3.621850948
Paisley Johnson,21,SF,6,0,0,101,253,0.399,35,108,0.324,66,145,0.455,51,67,0.761,11,35,46,72,14,0,43,288,0.789838499,1.997974274,-1.208135774,2.082911097
Babalu Ugwu,21,C,6,7,3,1,7,0.143,0,3,0,1,4,0.25,2,2,1,2,4,6,0,1,1,3,4,-10.04228267,-8.899321107,-1.142961562,-0.220257801
Perri Malli,21,PG,5,9,0,17,41,0.415,3,15,0.2,14,26,0.538,0,0,,10,16,26,7,1,7,7,37,-1.367304639,-1.842602872,0.475298233,0.110748057
Tahlia White,21,SF,6,1,2,9,21,0.429,6,10,0.6,3,11,0.273,5,8,0.625,5,8,13,5,5,1,9,29,0.91710607,0.128966106,0.788139964,0.406407966
Sara Hamson,21,PF,6,2,0,52,77,0.675,0,1,0,52,76,0.684,9,14,0.643,26,58,84,11,19,54,16,113,8.438096688,2.538424833,5.899671854,4.31295493
Signe Glantz,21,PF,6,3,2,0,2,0,0,1,0,0,1,0,0,0,,0,2,2,3,1,0,0,0,9.169033761,1.903015127,7.266018634,0.119696718
Kyra Beckman,21,SG,5,10,2,5,18,0.278,1,6,0.167,4,12,0.333,0,0,,1,19,20,2,1,0,7,11,-8.837970468,-7.97452347,-0.863446998,-0.423403744
Kayla Belles-Lee,21,SF,6,0,2,2,3,0.667,0,0,,2,3,0.667,0,0,,2,1,3,0,0,1,0,4,3.685720947,2.529204426,1.156516521,0.067703274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,